product_name,pos_category,group_key,group_display
0.5L LAIT DEMI ECREME NON BIO+ VID 0.25 €,04. EPICERIE,,
1/2 CAMEMBERT DE BREBIS,02. FROMAGE,fromages,Fromages (top)
1/2 CAMEMBERT DE CHEVRE JOUVENCEAU,02. FROMAGE,fromages,Fromages (top)
1/2 CAMEMBERT ST-LOUP,02. FROMAGE,fromages,Fromages (top)
1/2 CAMEMBERT TREMBLAYE,02. FROMAGE,fromages,Fromages (top)
1/2 EPOISSE BERTHAUT,02. FROMAGE,,
1/2 GALET DE LA LOIRE,02. FROMAGE,,
1/2 SAINTE MAURE DE TOURAINE,02. FROMAGE,,
1/2 SAUCISSON EN U ARDECHE,02. CHARCUTERIE,,
1/2 TRAPPE ECHOURGNAC,02. FROMAGE,,
10 OEUFS BIO,02. OEUF,oeufs,Oeufs
11% ROUGE  BIO,03. BOISSON,,
1L LAIT AVOINE OATLY,04. EPICERIE,,
1L LAIT DEMI ECREME ARDENNE,04. EPICERIE,,
1L LAIT DEMI ECREME NON BIO+ VID 0.25 €,04. EPICERIE,,
1L LAIT ENTIER BIO ARDENNES,04. EPICERIE,,
1L LAIT SOJA LIMA,04. EPICERIE,,
4 ÉPICES ANTILLES BIO FRAICHEMENT MOULU,04. EPICERIE,,
4X BRUNEHAUT 33CL + VID 0.10 CT,03. BOISSON,,
A L'ENVIE VENTOUX,03. BOISSON,,
AAREWASSER,02. FROMAGE,,
ABONDANCE,02. FROMAGE,,
ABRICOT CHOCOLAT LAIT,05. EPICERIE SUCREE,,
ABRICOT FR BIO,01. FRUIT ET LEGUME,,
ABRICOT MOELLEUX BIO,05. EPICERIE SUCREE,,
ABRICOT SEC NON SOUFFRE BIO,05. EPICERIE SUCREE,,
ABRICOTS BRUNS PEPITE,04. EPICERIE,,
ABSTINENCE ABSOLUE IPA,03. BOISSON,,
ACETO BALSAMICO IGP DI MODENA DEMETER,04. EPICERIE,,
ACTIVA AMANDE SANS SUCRE,05. EPICERIE SUCREE,,
ACTIVA FRAISE SANS SUCRE,05. EPICERIE SUCREE,,
AFRICAN AFFAIRS 10 SACHET BOX,04. EPICERIE,,
AFRICAN AFFAIRS REFILL,04. EPICERIE,,
AFRICAN AFFAIRS TIN CAN,04. EPICERIE,,
Afterwork en Terrasse 2022 GUDULE,03. BOISSON,,
AGASSE SAISON BASILIC,03. BOISSON,,
AGED RED LEICESTER,02. FROMAGE,,
AGRIA FARINEUSE BIO,01. FRUIT ET LEGUME,,
AIELLO CROCCANTE SESAME,05. EPICERIE SUCREE,,
AIL BIO,01. FRUIT ET LEGUME,,
AIL BIO SEMOULE,04. EPICERIE,,
AIL DES OURS BIO,01. FRUIT ET LEGUME,,
AIL EN POUDRE BIO,04. EPICERIE,,
AIL FUMÉ SÉCHÉ,04. EPICERIE,,
AIL POUDRE,04. EPICERIE,,
AILE DE POULET 500G,02. COPRO,,
AILLET BIO,01. FRUIT ET LEGUME,,
AIOLI HUILE D'OLIVE FUMEE,04. EPICERIE,huiles,Huiles
ALFABETO GIROLOMONI,04. EPICERIE,pates,Pâtes
ALIOLI PLAZA DEL SOL,04. EPICERIE,,
ALMOND ORANGE COOKIE,05. EPICERIE SUCREE,biscuits,Biscuits & gâteaux
ALMOND PECAN COOKIE,05. EPICERIE SUCREE,biscuits,Biscuits & gâteaux
ALPENHORN,02. FROMAGE,,
ALSACE AOP RIBEAUVILLE,03. BOISSON,vins,Vins
AMANDES  150G,04. EPICERIE,,
AMANDES BIO 175G,04. EPICERIE,,
AMANDES BIO 400G,04. EPICERIE,,
AMANDES DECORTIQUEES 250G,04. EPICERIE,,
AMANDES EFFILEES 125G,04. EPICERIE,,
AMANDES EFFILEES 50 GR,04. EPICERIE,,
AMANDES EMONDEES 125G,04. EPICERIE,,
AMANDES EN POUDRE,04. EPICERIE,,
AMANDES EN POUDRE BIO,04. EPICERIE,,
AMANDES EN POUDRE PEPITE,04. EPICERIE,,
AMANDES TOASTES BIO 100G,04. EPICERIE,,
AMARETTI SICILIANI,05. EPICERIE SUCREE,,
AMARETTI SICILIANI SS GLUTEN,05. EPICERIE SUCREE,,
AMATRICIANA 250G + VIDANGE 1€,04. EPICERIE,,
AMAZONIA EROTICA IPA,03. BOISSON,,
AMERICAIN NATURE,02. COPRO,,
AMERICAIN NATURE 1ER CHOIX,02. VIANDE,,
ANANAS BIO,01. FRUIT ET LEGUME,,
